decision_id	topic	decision_required	proposed_default	owner	status	evidence_or_note
SC0-D01	Page scope	Approve rename from SSO Configuration to Authentication and SSO Token Policy	Approve rename	System owner	approved	Approved by owner on 16 July 2026; page is not full IdP/SP configuration
SC0-D02	Token lifetime	Choose absolute or sliding SSO token lifetime	Absolute lifetime	Security owner	approved	Approved by owner on 16 July 2026; implementation remains a later phase
SC0-D03	Refresh window	Approve whether the one-hour legacy auto-reissue window remains during transition	Keep temporarily behind compatibility control	SSO owner and consumer owners	approved	Approved by owner on 16 July 2026; removal still requires consumer inventory and UAT
SC0-D04	Timeout reduction	Choose treatment of tokens issued before timeout is reduced	Preview plus grace-period revocation	Security owner	approved	Approved by owner on 16 July 2026; enforcement implementation remains pending
SC0-D05	Multiple sessions	Choose next-login, immediate, or grace-period enforcement when disabled	Preview plus grace-period revocation	Security owner and service desk	approved	Approved by owner on 16 July 2026; current next-login behavior remains until implemented
SC0-D06	PHP session	Approve 30-minute idle and 8-hour absolute timeout	Retain during early remediation	Security owner	approved	Approved by owner on 16 July 2026
SC0-D07	Password recovery	Decide whether password-reset email may be disabled in production	Do not allow ordinary admin disablement	Identity owner and service desk	approved	Approved by owner on 16 July 2026; UI/backend enforcement remains pending
SC0-D08	SMTP recovery	Assign owner and recovery procedure for SMTP failure or invalid user email	Fail closed with documented service-desk recovery	Messaging owner and service desk	approved	Policy approved by owner on 16 July 2026; named operational owner and procedure remain implementation deliverables
SC0-D09	Admin step-up	Approve factor, 15-minute validity, limits, and recovery	Selectable email OTP or Microsoft Authenticator TOTP, 15 minutes, server enforced	Security owner	approved	Email OTP and 15-minute server enforcement approved on 16 July 2026; Microsoft Authenticator via TOTP approved in principle on 17 July 2026; on 20 July 2026 owner confirmed there is no global default factor and each admin chooses their own default from confirmed available factors; F7.1-F7.4 are implemented with the feature OFF
SC0-D10	Authorization	Choose roles allowed to view and change security configuration	Existing admin role may view and change; sensitive changes require server-enforced Admin Step-Up 2FA	System owner	approved	Approved by owner on 16 July 2026; no security-admin role will be introduced because the system has one admin role, login_user_type 1
SC0-D11	Consumer registry	Confirm owner, protocol, callback, data and rollback contact for each active application	Complete registry before lifecycle redesign	Application owners	approved	Policy approved by owner on 16 July 2026; registry population remains pending execution
SC0-D12	Change window	Approve pilot consumers, maintenance window and observation period	IQS-Framework plus two low-risk in-house consumers	Change owner	approved	Approach approved by owner on 16 July 2026; exact consumers and schedule remain change-planning deliverables
F7.0-D01	F7 single-owner UAT	Approve whether development, test, security review, rollback and acceptance may be handled by one owner in UAT	Single owner with automated evidence and explicit gates	System owner	approved	On 20 July 2026 owner confirmed staff reference 0530-09 alone handles all F7 development/UAT roles without a second admin; compensating automated tests, checksums, backup/restore, audit and explicit GO/ACCEPT/ROLLBACK are mandatory; production requires a separate decision
